name,latitude,longitude
Orchid villa, 0.22656277264937993, 73.13560609117626
Penamaa,,
Peris, 0.221722606592426, 73.13843499980047
Police Station, 0.2220323121273908, 73.13537286589434
Pump Station 1, 0.22395497138638304, 73.13187179117736
Pump Station 2, 0.22555240145083907, 73.13598122588473
Pump Station 3, 0.22286940638246894, 73.13825161402124
Pump Station 4,0.220701693,73.13561874
Raastha,,
Rabaru cafe,0.222695293,73.13858304
Rain water plant,0.223741122,73.13725834
Raivilla, 0.22384192442254008, 73.1321448451594
Rangal, 0.22232567519064733, 73.13538316387913
Real,,
Reef view,0.221524042,73.13937949
Reegal, 0.22389236076176233, 73.13308227253525
Reethigasdhoshuge,0.221844799,73.13889155
Reyalivaage,,
Rihidhoadhi,,
Rio,,
Riveli, 0.22150855049513188, 73.13484020130892
Roashaneege,,
Rockhil,,
Rose House,,
Saadha Hayeh, 0.22175082954199013, 73.13856874060254
Saayaa,,
Saimaage, 0.22191008225496503, 73.13491249438485
Saljamge,,
Samaa,,
Saman,,
Sandal Wood,,
Saveyraa,,
Schooldhoshuge,,
Shaathubaau,,
Snow flaks,,
Snow Villa,,
Snow White,,
Solar,,
Sosunge,,
Stadiumge,,
Sun Light,,
Sunflower,,
Sunset View,0.224189947,73.13135118
Sweet Dreams,,
Thari,,
Tharivilla,0.220527013,73.1373468
Theveli,,
Thibrozge,,
Udhares,0.223252393,73.13625358
Udhares Supermart,0.223133036,73.13616372
Vaadhee Rose, 0.22421847818247645, 73.13179341890913
Vaarey villa, 0.22156268112814323, 73.13493944154456
Vaijeheyge,,
Vainujeheyge,0.220749108,73.13637928
Vashafaru,,
Veenas,,
Veenasaage,,
Veevaru,0.221585968,73.1389291
Vesaa,0.220942625,73.13653322
Veshi,,
Vidhuvaru,,
Vilares,,
Vinagandu,,
Wind Screen,,
Winter,,
Yesmeen,,
Youth Center,0.221187221,73.13581029
Zameen, 0.22161504147902397, 73.13461611029456
